               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014242,           0.0084666,            0.020172,             0.97012,             0.95118,             0.98464,             0.90826,           0.0095699,           0.0029831,            0.004223,           0.0038567,           0.0038567,           0.0038567
                  36,            0.013931,           0.0083482,            0.020023,             0.96801,             0.96161,             0.98617,             0.91657,             0.00933,           0.0030728,            0.003892,           0.0036489,           0.0036489,           0.0036489
                  37,            0.013957,            0.008364,             0.01867,             0.96824,             0.95731,             0.98596,             0.92143,           0.0091142,           0.0028436,           0.0037549,           0.0034503,           0.0034503,           0.0034503
                  38,             0.01336,           0.0081909,            0.018966,             0.97359,             0.95594,             0.98581,             0.91608,           0.0089045,           0.0028528,            0.003423,           0.0032618,           0.0032618,           0.0032618
                  39,            0.013531,           0.0081938,            0.017501,             0.97795,             0.96087,             0.98701,             0.92407,           0.0088441,           0.0028564,           0.0030133,           0.0030841,           0.0030841,           0.0030841
                  40,            0.013321,           0.0081004,            0.017193,             0.97018,             0.96632,             0.98759,             0.91925,           0.0090615,           0.0029181,           0.0029853,           0.0029179,           0.0029179,           0.0029179
                  41,            0.013043,           0.0080104,            0.017324,             0.97201,             0.94653,             0.98547,             0.92435,            0.008558,           0.0027718,           0.0034515,           0.0027639,           0.0027639,           0.0027639
                  42,            0.013139,           0.0081756,            0.016765,             0.97812,              0.9691,             0.98879,             0.92109,           0.0084711,           0.0027156,           0.0023993,           0.0026227,           0.0026227,           0.0026227
                  43,            0.012891,           0.0080775,            0.015406,             0.98007,             0.97193,             0.98859,             0.92305,           0.0086403,           0.0028006,           0.0022564,           0.0024948,           0.0024948,           0.0024948
                  44,            0.012678,           0.0077542,            0.014911,             0.98487,             0.96623,             0.98878,             0.92693,           0.0083321,           0.0028036,           0.0022739,           0.0023807,           0.0023807,           0.0023807
                  45,            0.012833,           0.0078347,            0.014598,             0.98748,             0.97685,             0.98918,             0.93255,           0.0082891,            0.002652,           0.0017012,           0.0022809,           0.0022809,           0.0022809
                  46,            0.012471,           0.0077198,            0.014743,             0.98746,             0.97574,             0.98806,             0.93079,           0.0084092,           0.0026814,           0.0018474,           0.0021958,           0.0021958,           0.0021958
                  47,            0.012333,           0.0076151,            0.014463,             0.98247,             0.97613,             0.98891,             0.93278,           0.0084021,           0.0027077,           0.0017661,           0.0021257,           0.0021257,           0.0021257
                  48,             0.01252,           0.0078385,            0.014228,             0.98423,             0.97535,             0.98963,             0.93065,           0.0083761,           0.0027599,           0.0018787,           0.0020709,           0.0020709,           0.0020709
                  49,            0.012285,           0.0075046,            0.013781,              0.9831,              0.9711,             0.98851,             0.93571,           0.0081162,           0.0026358,           0.0021445,           0.0020315,           0.0020315,           0.0020315
